model,method,sparsity,wikitext2_ppl
tinyllama-1.1b,dense,0.0,7.8
tinyllama-1.1b,cws,0.3,8.13
tinyllama-1.1b,cws,0.4,8.74
tinyllama-1.1b,cws,0.5,10.20
tinyllama-1.1b,cws,0.6,14.60
tinyllama-1.1b,cws,0.7,34.40
tinyllama-1.1b,cws,0.8,217.27
tinyllama-1.1b,wanda,0.3,8.15
tinyllama-1.1b,wanda,0.4,8.82
tinyllama-1.1b,wanda,0.5,10.73
tinyllama-1.1b,wanda,0.6,19.76
tinyllama-1.1b,wanda,0.7,94.92
tinyllama-1.1b,wanda,0.8,615
tinyllama-1.1b,ria,0.3,8.14
tinyllama-1.1b,ria,0.4,8.81
tinyllama-1.1b,ria,0.5,10.77
tinyllama-1.1b,ria,0.6,19.69
tinyllama-1.1b,ria,0.7,96.21
tinyllama-1.1b,ria,0.8,902
tinyllama-1.1b,sparsegpt,0.3,8.37
tinyllama-1.1b,sparsegpt,0.4,9.41
tinyllama-1.1b,sparsegpt,0.5,11.83
tinyllama-1.1b,sparsegpt,0.6,17.83
tinyllama-1.1b,sparsegpt,0.7,62.38
tinyllama-1.1b,sparsegpt,0.8,1490
tinyllama-1.1b,awp,0.3,8.16
tinyllama-1.1b,awp,0.4,8.82
tinyllama-1.1b,awp,0.5,10.73
tinyllama-1.1b,awp,0.6,19.86
tinyllama-1.1b,awp,0.7,95.80
tinyllama-1.1b,awp,0.8,637
hgrn-1.3b,dense,0.0,11.8
hgrn-1.3b,cws,0.3,12.14
hgrn-1.3b,cws,0.4,12.69
hgrn-1.3b,cws,0.5,13.88
hgrn-1.3b,cws,0.6,17.07
hgrn-1.3b,cws,0.7,31.11
hgrn-1.3b,cws,0.8,131.27
hgrn-1.3b,wanda,0.3,31.64
hgrn-1.3b,wanda,0.4,76.87
hgrn-1.3b,wanda,0.5,350
hgrn-1.3b,wanda,0.6,11552
hgrn-1.3b,wanda,0.7,20592
hgrn-1.3b,wanda,0.8,76051
hgrn-1.3b,ria,0.3,25.6
hgrn-1.3b,ria,0.4,54.3
hgrn-1.3b,ria,0.5,348
hgrn-1.3b,ria,0.6,8239
hgrn-1.3b,ria,0.7,17457
hgrn-1.3b,ria,0.8,28615
hgrn-1.3b,sparsegpt,0.3,15.02
hgrn-1.3b,sparsegpt,0.4,16.46
hgrn-1.3b,sparsegpt,0.5,17.4
hgrn-1.3b,sparsegpt,0.6,32.43
hgrn-1.3b,sparsegpt,0.7,115.4
hgrn-1.3b,sparsegpt,0.8,6956
hgrn-1.3b,awp,0.3,21.7
hgrn-1.3b,awp,0.4,49.7
hgrn-1.3b,awp,0.5,426.2
hgrn-1.3b,awp,0.6,2616
hgrn-1.3b,awp,0.7,4440
hgrn-1.3b,awp,0.8,17195
llama-7b,dense,0.0,6.61
llama-7b,cws,0.3,6.87
llama-7b,cws,0.4,7.30
llama-7b,cws,0.5,8.24
llama-7b,cws,0.6,10.96
llama-7b,cws,0.7,26.85
llama-7b,cws,0.8,245.5
llama-7b,wanda,0.3,6.89
llama-7b,wanda,0.4,7.40
llama-7b,wanda,0.5,8.69
llama-7b,wanda,0.6,14.22
llama-7b,wanda,0.7,77.82
llama-7b,wanda,0.8,1647.4
llama-7b,ria,0.3,6.84
llama-7b,ria,0.4,7.30
llama-7b,ria,0.5,8.58
llama-7b,ria,0.6,14.40
llama-7b,ria,0.7,102.17
llama-7b,ria,0.8,2084.1
llama-7b,sparsegpt,0.3,6.99
llama-7b,sparsegpt,0.4,7.76
llama-7b,sparsegpt,0.5,9.51
llama-7b,sparsegpt,0.6,15.64
llama-7b,sparsegpt,0.7,67.02
llama-7b,sparsegpt,0.8,2071.2
llama-7b,awp,0.3,6.81
llama-7b,awp,0.4,7.19
llama-7b,awp,0.5,8.10
llama-7b,awp,0.6,11.33
llama-7b,awp,0.7,31.99
llama-7b,awp,0.8,211.1
